,0,1,2
0,ENSMUSG00000000486,Septin1,septin 1
0,ENSMUSG00000000489,Pdgfb,"platelet derived growth factor, B polypeptide"
0,ENSMUSG00000000530,Acvrl1,"activin A receptor, type II-like 1"
0,ENSMUSG00000000531,Tamalin,no_name
0,ENSMUSG00000000532,Acvr1b,"activin A receptor, type 1B"
0,ENSMUSG00000000538,Tom1l2,target of myb1-like 2 (chicken)
0,ENSMUSG00000000544,Gpa33,glycoprotein A33 (transmembrane)
0,ENSMUSG00000000552,Zfp385a,zinc finger protein 385A
0,ENSMUSG00000000555,Itga5,integrin alpha 5 (fibronectin receptor alpha)
0,ENSMUSG00000000560,Gabra2,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
0,ENSMUSG00000000561,Wdr77,WD repeat domain 77
0,ENSMUSG00000000562,Adora3,adenosine A3 receptor
0,ENSMUSG00000000563,Atp5pb,ATP synthase peripheral stalk-membrane subunit b
0,ENSMUSG00000000567,Sox9,SRY (sex determining region Y)-box 9
0,ENSMUSG00000000568,Hnrnpd,heterogeneous nuclear ribonucleoprotein D
0,ENSMUSG00000000579,Dynlt1c,dynein light chain Tctex-type 1C
0,ENSMUSG00000000581,C1d,C1D nuclear receptor co-repressor
0,ENSMUSG00000000594,Gm2a,GM2 ganglioside activator protein
0,ENSMUSG00000000600,Krit1,"KRIT1, ankyrin repeat containing"
0,ENSMUSG00000000605,Clcn4,"chloride channel, voltage-sensitive 4"
0,ENSMUSG00000000606,Vmn2r88,"vomeronasal 2, receptor 88"
0,ENSMUSG00000000617,Grm6,"glutamate receptor, metabotropic 6"
0,ENSMUSG00000000627,Sema4f,"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
0,ENSMUSG00000000628,Hk2,hexokinase 2
0,ENSMUSG00000000631,Myo18a,myosin XVIIIA
0,ENSMUSG00000000632,Sez6,seizure related gene 6
0,ENSMUSG00000000673,Haao,"3-hydroxyanthranilate 3,4-dioxygenase"
0,ENSMUSG00000000682,Cd52,CD52 antigen
0,ENSMUSG00000000686,Abhd15,abhydrolase domain containing 15
0,ENSMUSG00000000690,Hoxb6,homeobox B6
0,ENSMUSG00000000693,Loxl3,lysyl oxidase-like 3
0,ENSMUSG00000000701,Tcl1b5,"T cell leukemia/lymphoma 1B, 5"
0,ENSMUSG00000000706,Btn1a1,"butyrophilin, subfamily 1, member A1"
0,ENSMUSG00000000708,Kat2b,K(lysine) acetyltransferase 2B
0,ENSMUSG00000000711,Rab5b,"RAB5B, member RAS oncogene family"
0,ENSMUSG00000000724,Cryba1,"crystallin, beta A1"
0,ENSMUSG00000000730,Dnmt3l,DNA (cytosine-5-)-methyltransferase 3-like
0,ENSMUSG00000000731,Aire,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)
0,ENSMUSG00000000732,Icosl,icos ligand
0,ENSMUSG00000000738,Spg7,"SPG7, paraplegin matrix AAA peptidase subunit"
0,ENSMUSG00000000739,Sult5a1,"sulfotransferase family 5A, member 1"
0,ENSMUSG00000000740,Rpl13,ribosomal protein L13
0,ENSMUSG00000000743,Chmp1a,charged multivesicular body protein 1A
0,ENSMUSG00000000751,Rpa1,replication protein A1
0,ENSMUSG00000000753,Serpinf1,"serine (or cysteine) peptidase inhibitor, clade F, member 1"
0,ENSMUSG00000000759,Tubgcp3,"tubulin, gamma complex associated protein 3"
0,ENSMUSG00000000766,Oprm1,"opioid receptor, mu 1"
0,ENSMUSG00000000776,Polr3d,polymerase (RNA) III (DNA directed) polypeptide D
0,ENSMUSG00000000782,Tcf7,"transcription factor 7, T cell specific"
0,ENSMUSG00000000787,Ddx3x,"DEAD box helicase 3, X-linked"
0,ENSMUSG00000000791,Il12rb1,"interleukin 12 receptor, beta 1"
0,ENSMUSG00000000792,Slc5a5,"solute carrier family 5 (sodium iodide symporter), member 5"
0,ENSMUSG00000000794,Kcnn3,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
0,ENSMUSG00000000804,Usp32,ubiquitin specific peptidase 32
0,ENSMUSG00000000805,Car4,carbonic anhydrase 4
0,ENSMUSG00000000811,Txnrd3,thioredoxin reductase 3
0,ENSMUSG00000000817,Fasl,"Fas ligand (TNF superfamily, member 6)"
0,ENSMUSG00000000823,Zfp512b,zinc finger protein 512B
0,ENSMUSG00000000826,Dnajc5,DnaJ heat shock protein family (Hsp40) member C5
0,ENSMUSG00000000827,Tpd52l2,tumor protein D52-like 2
0,ENSMUSG00000000838,Fmr1,FMRP translational regulator 1
0,ENSMUSG00000000861,Bcl11a,B cell CLL/lymphoma 11A (zinc finger protein)
0,ENSMUSG00000000869,Il4,interleukin 4
0,ENSMUSG00000000876,Pxmp4,peroxisomal membrane protein 4
0,ENSMUSG00000000881,Dlg3,discs large MAGUK scaffold protein 3
0,ENSMUSG00000000884,Gnb1l,"guanine nucleotide binding protein (G protein), beta polypeptide 1-like"
0,ENSMUSG00000000889,Dbh,dopamine beta hydroxylase
0,ENSMUSG00000000901,Mmp11,matrix metallopeptidase 11
0,ENSMUSG00000000902,Smarcb1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
0,ENSMUSG00000000903,Vpreb3,pre-B lymphocyte gene 3
0,ENSMUSG00000000915,Hip1r,huntingtin interacting protein 1 related
0,ENSMUSG00000000916,Nsun5,"NOL1/NOP2/Sun domain family, member 5"
0,ENSMUSG00000000934,Top1mt,"DNA topoisomerase 1, mitochondrial"
0,ENSMUSG00000000938,Hoxa10,homeobox A10
0,ENSMUSG00000000942,Hoxa4,homeobox A4
0,ENSMUSG00000000948,Gm38393,no_name
0,ENSMUSG00000000957,Mmp14,matrix metallopeptidase 14 (membrane-inserted)
0,ENSMUSG00000000958,Slc7a7,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
0,ENSMUSG00000000959,Oxa1l,oxidase assembly 1-like
0,ENSMUSG00000000976,Heatr6,HEAT repeat containing 6
0,ENSMUSG00000000982,Ccl3,chemokine (C-C motif) ligand 3
0,ENSMUSG00000000983,Wfdc18,WAP four-disulfide core domain 18
0,ENSMUSG00000001014,Icam4,"intercellular adhesion molecule 4, Landsteiner-Wiener blood group"
0,ENSMUSG00000001016,Ilf2,interleukin enhancer binding factor 2
0,ENSMUSG00000001017,Chtop,chromatin target of PRMT1
0,ENSMUSG00000001018,Snapin,SNAP-associated protein
0,ENSMUSG00000001020,S100a4,S100 calcium binding protein A4
0,ENSMUSG00000001021,S100a3,S100 calcium binding protein A3
0,ENSMUSG00000001023,S100a5,S100 calcium binding protein A5
0,ENSMUSG00000001025,S100a6,S100 calcium binding protein A6 (calcyclin)
0,ENSMUSG00000001027,Scn4a,"sodium channel, voltage-gated, type IV, alpha"
0,ENSMUSG00000001029,Icam2,intercellular adhesion molecule 2
0,ENSMUSG00000001034,Mapk7,mitogen-activated protein kinase 7
0,ENSMUSG00000001036,Epn2,epsin 2
0,ENSMUSG00000001039,B9d1,B9 protein domain 1
0,ENSMUSG00000001052,Sec24b,"Sec24 related gene family, member B (S. cerevisiae)"
0,ENSMUSG00000001053,N4bp3,NEDD4 binding protein 3
0,ENSMUSG00000001054,Rmnd5b,required for meiotic nuclear division 5 homolog B
0,ENSMUSG00000001056,Nhp2,NHP2 ribonucleoprotein
0,ENSMUSG00000001062,Vps9d1,VPS9 domain containing 1
0,ENSMUSG00000001065,Zfp276,zinc finger protein (C2H2 type) 276
0,ENSMUSG00000001076,C1ql4,"complement component 1, q subcomponent-like 4"
0,ENSMUSG00000001082,Mfsd10,major facilitator superfamily domain containing 10
0,ENSMUSG00000001089,Luzp1,leucine zipper protein 1
0,ENSMUSG00000001095,Slc13a2,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2"
0,ENSMUSG00000001098,Kctd10,potassium channel tetramerisation domain containing 10
0,ENSMUSG00000001100,Poldip2,"polymerase (DNA-directed), delta interacting protein 2"
0,ENSMUSG00000001103,Sebox,SEBOX homeobox
0,ENSMUSG00000001105,Ift20,intraflagellar transport 20
0,ENSMUSG00000001119,Col6a1,"collagen, type VI, alpha 1"
0,ENSMUSG00000001120,Pcbp3,poly(rC) binding protein 3
0,ENSMUSG00000001123,Lgals9,"lectin, galactose binding, soluble 9"
0,ENSMUSG00000001127,Araf,"Araf proto-oncogene, serine/threonine kinase"
0,ENSMUSG00000001128,Cfp,complement factor properdin
0,ENSMUSG00000001131,Timp1,tissue inhibitor of metalloproteinase 1
0,ENSMUSG00000001134,Uxt,ubiquitously expressed prefoldin like chaperone
0,ENSMUSG00000001138,Cnnm3,cyclin M3
0,ENSMUSG00000001143,Lman2l,"lectin, mannose-binding 2-like"
0,ENSMUSG00000001150,Mcm3ap,minichromosome maintenance complex component 3 associated protein
0,ENSMUSG00000001151,Pcnt,pericentrin (kendrin)
0,ENSMUSG00000001155,Ftcd,formiminotransferase cyclodeaminase
0,ENSMUSG00000001156,Mxd1,MAX dimerization protein 1
0,ENSMUSG00000001157,Gmcl1,"germ cell-less, spermatogenesis associated 1"
0,ENSMUSG00000001158,Snrnp27,small nuclear ribonucleoprotein 27 (U4/U6.U5)
0,ENSMUSG00000001166,Oas1c,2'-5' oligoadenylate synthetase 1C
0,ENSMUSG00000001168,Oas1h,2'-5' oligoadenylate synthetase 1H
0,ENSMUSG00000001173,Ocrl,"OCRL, inositol polyphosphate-5-phosphatase"
0,ENSMUSG00000001175,Calm1,calmodulin 1
0,ENSMUSG00000001211,Agpat3,1-acylglycerol-3-phosphate O-acyltransferase 3
0,ENSMUSG00000001225,Slc26a3,"solute carrier family 26, member 3"
0,ENSMUSG00000001227,Sema6b,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
0,ENSMUSG00000001228,Uhrf1,"ubiquitin-like, containing PHD and RING finger domains, 1"
0,ENSMUSG00000001229,Dpp9,dipeptidylpeptidase 9
0,ENSMUSG00000001240,Ramp2,receptor (calcitonin) activity modifying protein 2
0,ENSMUSG00000001247,Lsr,lipolysis stimulated lipoprotein receptor
0,ENSMUSG00000001248,Gramd1a,GRAM domain containing 1A
0,ENSMUSG00000001249,Hpn,hepsin
0,ENSMUSG00000001260,Gabrg1,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1"
0,ENSMUSG00000001270,Ckb,"creatine kinase, brain"
0,ENSMUSG00000001280,Sp1,trans-acting transcription factor 1
0,ENSMUSG00000001281,Itgb7,integrin beta 7
0,ENSMUSG00000001285,Myg1,melanocyte proliferating gene 1
0,ENSMUSG00000001288,Rarg,"retinoic acid receptor, gamma"
0,ENSMUSG00000001289,Pfdn5,prefoldin 5
0,ENSMUSG00000001300,Efnb2,ephrin B2
0,ENSMUSG00000001305,Rrp15,ribosomal RNA processing 15 homolog
0,ENSMUSG00000001313,Rnd2,Rho family GTPase 2
0,ENSMUSG00000001323,Srr,serine racemase
0,ENSMUSG00000001333,Sync,syncoilin
0,ENSMUSG00000001334,Fndc5,fibronectin type III domain containing 5
0,ENSMUSG00000001348,Acp5,"acid phosphatase 5, tartrate resistant"
0,ENSMUSG00000001349,Cnn1,calponin 1
0,ENSMUSG00000001366,Fbxo9,f-box protein 9
0,ENSMUSG00000001376,Vps50,VPS50 EARP/GARPII complex subunit
0,ENSMUSG00000001380,Hars,histidyl-tRNA synthetase
0,ENSMUSG00000001383,Zmat2,"zinc finger, matrin type 2"
0,ENSMUSG00000001403,Ube2c,ubiquitin-conjugating enzyme E2C
0,ENSMUSG00000001415,Smg5,"Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)"
0,ENSMUSG00000001416,Cct3,"chaperonin containing Tcp1, subunit 3 (gamma)"
0,ENSMUSG00000001418,Glmp,glycosylated lysosomal membrane protein
0,ENSMUSG00000001419,Mef2d,myocyte enhancer factor 2D
0,ENSMUSG00000001420,Tmem79,transmembrane protein 79
0,ENSMUSG00000001424,Snd1,staphylococcal nuclease and tudor domain containing 1
0,ENSMUSG00000001435,Col18a1,"collagen, type XVIII, alpha 1"
0,ENSMUSG00000001436,Slc19a1,"solute carrier family 19 (folate transporter), member 1"
0,ENSMUSG00000001440,Kpnb1,karyopherin (importin) beta 1
0,ENSMUSG00000001441,Npepps,aminopeptidase puromycin sensitive
0,ENSMUSG00000001444,Tbx21,T-box 21
0,ENSMUSG00000001445,Mrpl10,mitochondrial ribosomal protein L10
0,ENSMUSG00000001467,Cyp51,"cytochrome P450, family 51"
0,ENSMUSG00000001472,Tcf25,transcription factor 25 (basic helix-loop-helix)
0,ENSMUSG00000001473,Tubb6,"tubulin, beta 6 class V"
0,ENSMUSG00000001482,Def8,differentially expressed in FDCP 8
0,ENSMUSG00000001493,Meox1,mesenchyme homeobox 1
0,ENSMUSG00000001494,Sost,sclerostin
0,ENSMUSG00000001496,Nkx2-1,NK2 homeobox 1
0,ENSMUSG00000001497,Pax9,paired box 9
0,ENSMUSG00000001504,Irx2,Iroquois homeobox 2
0,ENSMUSG00000001506,Col1a1,"collagen, type I, alpha 1"
0,ENSMUSG00000001507,Itga3,integrin alpha 3
0,ENSMUSG00000001508,Sgca,"sarcoglycan, alpha (dystrophin-associated glycoprotein)"
0,ENSMUSG00000001510,Dlx3,distal-less homeobox 3
0,ENSMUSG00000001517,Foxm1,forkhead box M1
0,ENSMUSG00000001518,Itfg2,integrin alpha FG-GAP repeat containing 2
0,ENSMUSG00000001520,Nrip2,nuclear receptor interacting protein 2
0,ENSMUSG00000001521,Tulp3,tubby-like protein 3
0,ENSMUSG00000001524,Gtf2h4,"general transcription factor II H, polypeptide 4"
0,ENSMUSG00000001525,Tubb5,"tubulin, beta 5 class I"
0,ENSMUSG00000001542,Ell2,elongation factor for RNA polymerase II 2
0,ENSMUSG00000001552,Jup,junction plakoglobin
0,ENSMUSG00000001555,Fkbp10,FK506 binding protein 10
0,ENSMUSG00000001558,Klhl10,kelch-like 10
0,ENSMUSG00000001566,Mnx1,motor neuron and pancreas homeobox 1
0,ENSMUSG00000001569,Nom1,nucleolar protein with MIF4G domain 1
0,ENSMUSG00000001576,Ergic1,endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1
0,ENSMUSG00000001583,Tnk1,"tyrosine kinase, non-receptor, 1"
0,ENSMUSG00000001588,Acap1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
0,ENSMUSG00000001604,Tcea3,"transcription elongation factor A (SII), 3"
0,ENSMUSG00000001622,Csn3,casein kappa
0,ENSMUSG00000001627,Ifrd1,interferon-related developmental regulator 1
0,ENSMUSG00000001630,Stk38l,serine/threonine kinase 38 like
0,ENSMUSG00000001632,Brpf1,"bromodomain and PHD finger containing, 1"
0,ENSMUSG00000001642,Akr1b3,"aldo-keto reductase family 1, member B3 (aldose reductase)"
0,ENSMUSG00000001655,Hoxc13,homeobox C13
0,ENSMUSG00000001656,Hoxc11,homeobox C11
0,ENSMUSG00000001657,Hoxc8,homeobox C8
0,ENSMUSG00000001661,Hoxc6,homeobox C6
0,ENSMUSG00000001663,Gstt1,"glutathione S-transferase, theta 1"
0,ENSMUSG00000001665,Gstt3,"glutathione S-transferase, theta 3"
0,ENSMUSG00000001666,Ddt,D-dopachrome tautomerase
0,ENSMUSG00000001670,Tat,tyrosine aminotransferase
0,ENSMUSG00000001672,Marveld3,MARVEL (membrane-associating) domain containing 3
0,ENSMUSG00000001674,Ddx18,DEAD box helicase 18
0,ENSMUSG00000001687,Ubl3,ubiquitin-like 3
0,ENSMUSG00000001700,Gramd3,GRAM domain containing 3
0,ENSMUSG00000001707,Eef1e1,eukaryotic translation elongation factor 1 epsilon 1
0,ENSMUSG00000001729,Akt1,thymoma viral proto-oncogene 1
0,ENSMUSG00000001739,Cldn15,claudin 15
0,ENSMUSG00000001741,Il16,interleukin 16
0,ENSMUSG00000001750,Tcirg1,"T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3"
0,ENSMUSG00000001751,Naglu,alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)
0,ENSMUSG00000001755,Coasy,Coenzyme A synthase
0,ENSMUSG00000001761,Smo,"smoothened, frizzled class receptor"
0,ENSMUSG00000001763,Tspan33,tetraspanin 33
0,ENSMUSG00000001767,Crnkl1,crooked neck pre-mRNA splicing factor 1
0,ENSMUSG00000001768,Rin2,Ras and Rab interactor 2
0,ENSMUSG00000001773,Folh1,folate hydrolase 1
0,ENSMUSG00000001774,Chordc1,"cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1"
0,ENSMUSG00000001783,Rtcb,"RNA 2',3'-cyclic phosphate and 5'-OH ligase"
0,ENSMUSG00000001785,Pwp1,"PWP1 homolog, endonuclein"
0,ENSMUSG00000001786,Fbxo7,F-box protein 7
0,ENSMUSG00000001794,Capns1,"calpain, small subunit 1"
0,ENSMUSG00000001802,Lrp3,low density lipoprotein receptor-related protein 3
0,ENSMUSG00000001804,Dsg4,desmoglein 4
0,ENSMUSG00000001815,Evx2,even-skipped homeobox 2
0,ENSMUSG00000001819,Hoxd13,homeobox D13
0,ENSMUSG00000001823,Hoxd12,homeobox D12
0,ENSMUSG00000001827,Folr1,folate receptor 1 (adult)
0,ENSMUSG00000001829,Clpb,ClpB caseinolytic peptidase B
0,ENSMUSG00000001833,Septin7,septin 7
0,ENSMUSG00000001844,Zdhhc4,"zinc finger, DHHC domain containing 4"
0,ENSMUSG00000001847,Rac1,Rac family small GTPase 1
0,ENSMUSG00000001855,Nup214,nucleoporin 214
0,ENSMUSG00000001864,Aif1l,allograft inflammatory factor 1-like
0,ENSMUSG00000001865,Cpa3,"carboxypeptidase A3, mast cell"
0,ENSMUSG00000001870,Ltbp1,latent transforming growth factor beta binding protein 1
0,ENSMUSG00000001891,Ugp2,UDP-glucose pyrophosphorylase 2
0,ENSMUSG00000001901,Kcnh6,"potassium voltage-gated channel, subfamily H (eag-related), member 6"
0,ENSMUSG00000001909,Trmt1,tRNA methyltransferase 1
0,ENSMUSG00000001910,Nacc1,"nucleus accumbens associated 1, BEN and BTB (POZ) domain containing"
0,ENSMUSG00000001911,Nfix,nuclear factor I/X
0,ENSMUSG00000001918,Slc1a5,"solute carrier family 1 (neutral amino acid transporter), member 5"
0,ENSMUSG00000001924,Uba1,ubiquitin-like modifier activating enzyme 1
0,ENSMUSG00000001930,Vwf,Von Willebrand factor
0,ENSMUSG00000001942,Siae,sialic acid acetylesterase
0,ENSMUSG00000001943,Vsig2,V-set and immunoglobulin domain containing 2
0,ENSMUSG00000001946,Esam,endothelial cell-specific adhesion molecule
0,ENSMUSG00000001948,Spa17,sperm autoantigenic protein 17
0,ENSMUSG00000001962,Fam50a,"family with sequence similarity 50, member A"
0,ENSMUSG00000001964,Emd,emerin
0,ENSMUSG00000001983,Taco1,translational activator of mitochondrially encoded cytochrome c oxidase I
0,ENSMUSG00000001985,Grik3,"glutamate receptor, ionotropic, kainate 3"
0,ENSMUSG00000001986,Gria3,"glutamate receptor, ionotropic, AMPA3 (alpha 3)"
0,ENSMUSG00000001988,Npas1,neuronal PAS domain protein 1
0,ENSMUSG00000001995,Sipa1l2,signal-induced proliferation-associated 1 like 2
0,ENSMUSG00000001998,Ap4e1,"adaptor-related protein complex AP-4, epsilon 1"
0,ENSMUSG00000001999,Blvra,biliverdin reductase A
0,ENSMUSG00000002006,Pdzd4,PDZ domain containing 4
0,ENSMUSG00000002007,Srpk3,serine/arginine-rich protein specific kinase 3
0,ENSMUSG00000002010,Idh3g,"isocitrate dehydrogenase 3 (NAD+), gamma"
0,ENSMUSG00000002012,Pnck,pregnancy upregulated non-ubiquitously expressed CaM kinase
0,ENSMUSG00000002014,Ssr4,"signal sequence receptor, delta"
0,ENSMUSG00000002015,Bcap31,B cell receptor associated protein 31
0,ENSMUSG00000002017,Fam98a,"family with sequence similarity 98, member A"
0,ENSMUSG00000002020,Ltbp2,latent transforming growth factor beta binding protein 2
0,ENSMUSG00000002028,Kmt2a,lysine (K)-specific methyltransferase 2A
0,ENSMUSG00000002031,Ift46,intraflagellar transport 46
0,ENSMUSG00000002032,Tmem25,transmembrane protein 25
0,ENSMUSG00000002033,Cd3g,"CD3 antigen, gamma polypeptide"
0,ENSMUSG00000002043,Trappc6a,trafficking protein particle complex 6A
0,ENSMUSG00000002052,Supt6,"SPT6, histone chaperone and transcription elongation factor"
0,ENSMUSG00000002055,Spag5,sperm associated antigen 5
0,ENSMUSG00000002057,Foxn1,forkhead box N1
0,ENSMUSG00000002058,Unc119,unc-119 lipid binding chaperone
0,ENSMUSG00000002059,Rab34,"RAB34, member RAS oncogene family"
0,ENSMUSG00000002064,Sdf2,stromal cell derived factor 2
0,ENSMUSG00000002068,Ccne1,cyclin E1
0,ENSMUSG00000002076,Hsf2bp,heat shock transcription factor 2 binding protein
0,ENSMUSG00000002083,Bbc3,BCL2 binding component 3
0,ENSMUSG00000002100,Mybpc3,"myosin binding protein C, cardiac"
0,ENSMUSG00000002102,Psmc3,"proteasome (prosome, macropain) 26S subunit, ATPase 3"
0,ENSMUSG00000002103,Acp2,"acid phosphatase 2, lysosomal"
0,ENSMUSG00000002104,Rapsn,receptor-associated protein of the synapse
0,ENSMUSG00000002105,Slc39a13,"solute carrier family 39 (metal ion transporter), member 13"
0,ENSMUSG00000002107,Celf2,"CUGBP, Elav-like family member 2"
0,ENSMUSG00000002108,Nr1h3,"nuclear receptor subfamily 1, group H, member 3"
0,ENSMUSG00000002109,Ddb2,damage specific DNA binding protein 2
0,ENSMUSG00000002111,Spi1,spleen focus forming virus (SFFV) proviral integration oncogene
0,ENSMUSG00000002129,Sf3a1,"splicing factor 3a, subunit 1"
0,ENSMUSG00000002147,Stat6,signal transducer and activator of transcription 6
0,ENSMUSG00000002190,Clgn,calmegin
0,ENSMUSG00000002204,Napsa,napsin A aspartic peptidase
0,ENSMUSG00000002205,Vrk3,vaccinia related kinase 3
0,ENSMUSG00000002210,Smg9,"smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)"
